role_id,role_name,department,required_skill_ids,benchmark_scores
JR001,Software Developer,CSE,"SK001,SK002,SK003,SK004,SK007","8,7,7,6,7"
JR002,Data Scientist,CSE,"SK007,SK008,SK009,SK010,SK004","8,8,7,7,6"
JR003,Web Developer,CSE,"SK011,SK012,SK013,SK007,SK004","8,8,7,6,5"
JR004,DevOps Engineer,CSE,"SK014,SK015,SK006,SK007,SK016","8,7,7,6,7"
JR005,ML Engineer,CSE,"SK007,SK008,SK009,SK001,SK002","9,8,7,7,7"
JR006,Cybersecurity Analyst,CSE,"SK006,SK015,SK005,SK004,SK016","8,7,7,6,6"
JR007,Embedded Systems Engineer,ECE,"SK017,SK018,SK021,SK022,SK015","8,8,7,6,5"
JR008,VLSI Design Engineer,ECE,"SK019,SK020,SK021,SK017,SK023","8,8,7,6,6"
JR009,IoT Developer,ECE,"SK018,SK017,SK021,SK007,SK024","8,7,6,6,5"
JR010,Signal Processing Engineer,ECE,"SK022,SK023,SK021,SK017,SK020","8,7,6,6,5"
JR011,Mechanical Design Engineer,MECH,"SK025,SK026,SK029,SK027,SK028","8,7,7,6,6"
JR012,Manufacturing Engineer,MECH,"SK030,SK025,SK029,SK026,SK027","8,7,6,6,5"
JR013,Thermal Engineer,MECH,"SK027,SK028,SK026,SK025,SK029","8,7,7,6,6"
JR014,Structural Engineer,CIVIL,"SK031,SK032,SK033,SK034,SK035","8,8,7,6,5"
JR015,Site Engineer,CIVIL,"SK033,SK031,SK034,SK035,SK032","8,7,7,6,5"
JR016,Process Engineer,CHEM,"SK036,SK037,SK038,SK039,SK040","8,7,7,6,6"
JR017,Quality Assurance Engineer,CHEM,"SK040,SK038,SK036,SK039,SK037","8,7,6,6,5"
JR018,R&D Chemist,CHEM,"SK039,SK036,SK040,SK037,SK038","8,7,6,5,5"
